Date,AACG,AIRT,ALRS,AMTX,ANIX,ARKR,ARTW,ASRV,ATLC,AVBH,BHRB,BMRA,BVFL,BYRN,CELH,CLWT,CODA,CPSH,CPSS,CREX,CRVO,CYRX,CZFS,DRS,DXR,DYAI,EDAP,ELTK,FIEE,FKWL,FRAF,FSFG,GCBC,HFBL,HGBL,HNNA,HROW,IBIO,ICCC,IDN,INTZ,IPM,ISBA,KINS,KOSS,KRMD,LDWY,LFMD,LINK,LIXT,LOAN,LTRX,LWLG,MGYR,MNSB,NAII,NBN,NECB,NOTV,OCC,ORKA,OVLY,PEBK,PRPH,RCAT,SBET,SCWO,SFBC,SGLY,SHIP,SLNH,SMID,SSKN,TACT,TAYD,TOMZ,VALU,VIRC,WFCF,WVVI,ZYXI
2019-01-03,0.0,0.07310923349469256,0.0,-0.021909230987214312,0.0,-0.026344142718571772,0.0,0.0024879422459684886,-0.02134144324798215,0.0,0.0006806219341410902,-0.010309329662834377,0.0,0.06666668256123853,-0.014493051083047548,-0.06474827131820315,0.0,0.016260146842582035,0.030581010769374473,-0.057851248354386375,-0.05238095238095242,-0.04435058758722921,0.0,-0.0152670724406343,0.12952802959886944,-0.005464475534834423,0.17112302226529907,0.06222229704171722,0.0,0.0,0.020967654316967677,-0.03569327907147268,-0.03395067396992335,0.0,0.0,0.017526703596404847,-0.027777794947839718,-0.012820512820512775,0.0,-0.022935757240897803,0.0,0.0,0.010989128237645085,-0.033783784193067934,0.005102035851341613,0.0596026714880904,-0.04575161245311654,0.06666668256123853,-0.028570709666154936,0.0,0.0017480319612901418,-0.027210938968575293,-0.057142803620318094,0.0,-0.0228740609104211,0.01016254331755384,0.04261373415179848,0.0,-0.0298508060193573,-0.023437478172126713,0.03030305744129569,-0.0399784629504385,-0.0732862192989916,0.02461540341713131,0.0,-0.054945056480577015,0.0,-0.01868881781809606,0.0,0.07843153495264099,-0.060975604484488244,-0.0511439887825732,-0.04561400831791396,-0.006430887214695091,-0.02749999364217126,0.0,-0.0321136535100055,0.0,-0.005025132013411038,-0.022377667428694625,-0.02422163171503755
2019-01-04,-0.01063828775385156,0.07674229184517722,-0.002506324181127617,0.10399999618530265,0.012658215623466695,0.03092207070826558,-0.009756088483765968,0.017369452062964807,-0.018691570737231822,-0.0023809160505022797,0.0,0.0208333760189523,0.0,-0.0625000139698384,-0.005881718120568147,0.07692313684049279,-0.020033370641795778,0.11999998092651376,0.04747777188845359,-0.05701759278107599,0.12060301507537696,0.07513804830607951,0.0,0.019379828682482447,0.09329446469444846,0.04395600076948947,0.050228261288466136,-0.016736528430934983,0.0,0.0,0.02211709244908966,0.03315034159378394,-0.0012778300000694243,0.022742732909913466,0.0,0.025837317798311332,0.026666641235351562,0.03896103896103886,-0.012784112652779234,0.07042246426743715,0.018421072708932895,0.0,0.0,0.011072164038449683,0.11167513980465893,-0.012499987892806708,0.10958902703479989,0.12499995343387194,0.05882312336815909,0.0,0.01221670117089979,0.09790217485269115,0.0,0.0,0.01740726303404605,0.011066460261089928,-0.032697514842140674,0.03884410747404021,0.0,0.015999984741210893,0.11764706450472318,0.062187383814746866,0.11819727325788842,0.07507488255106098,0.0,0.017441890552192252,0.0,0.024788179692126544,0.05882352941176472,0.05454512571518899,0.0,0.008510695564899029,0.02573525132192578,0.030204910331434798,0.013710355301293164,0.0,-0.003086243071508732,0.0888889221862843,-0.05050505419072526,0.011444978993241817,0.046099276108573894
2019-01-07,0.010752677834782398,-0.023999926757807377,0.0,-0.02753622299531655,-0.007499992847442627,0.0042850923616668535,-0.024630518729541362,-0.009756187735892596,-0.006349200101906871,0.0,0.005102068668696669,-0.010204071702683226,0.0,0.0,0.07988166118727347,0.03214283217217351,0.010221455527988699,-0.035714252262698754,0.008498575533404162,0.06046517129543716,0.013452914798206317,-0.06988688422334444,-0.021145244399525698,0.0,0.07822223239474835,0.015789458824326585,-0.07391297452165713,0.0,0.0,0.0,-0.003091337296681318,0.02362213831405935,-0.008317264642478506,0.020909154169060473,0.0888889389273575,-0.011194275541475118,0.09461971085620235,0.03750000000000009,0.0,-0.0789473986911865,0.0,-0.07441864127142972,-0.002174051960375345,-0.008645487575215771,-0.0684931924421095,-0.025316506313829312,0.0,-0.055555504045367354,0.055555193374546175,0.0,0.017241451604274705,0.04777065348328402,0.045454500299513256,0.0,0.020648900460340958,0.023880573787393722,-0.0016902745287546983,0.0,0.0,-0.007874008357040663,0.0,-0.04234176686744229,0.004182601685094767,0.019553229386102933,0.0,0.02857142857142847,0.39999998509883894,0.0,-0.033333333333333326,0.10344862421294065,0.0519480340126659,0.0,-0.0035842431124375462,0.015706853897063944,0.03550296525803942,0.0,0.03366866978077265,-0.024943339115011343,0.005319155749829996,-0.0070721625913502395,0.0033898433060393085
2019-01-08,0.053191502178454586,0.061847982040792004,0.0,0.04321905230924905,-0.010075557069209928,0.0,0.010101000370632551,0.0024632073326065207,0.11182105170468515,0.0,0.0,0.015463902322123246,0.0,0.0,0.03561609904936658,0.07266446089449508,0.001686379286900852,0.007407400212333881,-0.002808986130333757,0.035087685053246886,0.004424778761061843,-0.026519311166851578,0.0,-0.007604648028554095,-0.05111293319947818,0.010362746465985007,0.01877932380464986,0.04255335479260869,0.0,0.04166660826674584,0.0,0.005576688356427439,-0.0012904681183649735,0.006827274450032839,-0.020408204226431526,0.009434137624143135,0.03389827220887209,-0.02409638554216864,-0.01438847588157588,0.08571432139597945,0.0025839398488296528,0.0,0.006536366281053141,0.002907148928148251,-0.03921564960882995,-0.025974001846660322,-0.043209855778206685,0.0,0.0,0.05319148792262829,0.025423584869522564,0.033434691425482166,-0.014492739851898917,0.0,0.012716468528447322,0.012633636046924579,0.0,-0.026087035943672232,0.01538469297646361,0.005291000285156278,-0.026315898628143986,0.038755475786074634,-0.0018932475039600272,-0.07123293161838062,0.0,0.06666663840964993,0.0,0.0,-0.02298850574712641,-0.03125005988069851,0.0,-0.0014065581714595154,0.021582748127196183,-0.05567026924400409,0.0,0.0,-0.09210022940953466,0.0,0.0,0.017094000838336676,-0.006756692595256908
2019-01-09,0.08080812337848275,0.013684222572728277,0.0,-0.014285700905079524,-0.007633580376634641,0.0,-0.04000002145767212,0.007370945210395385,-0.07183908006602824,-0.0023866893836888003,0.0,0.0,0.0,0.0,-0.007936500427734305,-0.006451813105929238,0.0033670001235441838,0.05882356034843128,0.0028168987598808926,0.12288134109239901,-0.022026431718061623,0.035187224878233225,0.0171015879348988,-0.007662737334553471,-0.08774980093809737,0.010256400224333495,0.03686632299233983,0.02040802804534181,0.0,-0.020000021144109703,-0.007751649706688735,-0.025434938079588076,-0.0003229316578328145,-0.008718240365743646,0.0,0.0,-0.01639342724524051,0.024691358024691468,0.02189782444609789,0.09649124182932711,-0.007731939251534703,-0.03266334518038039,-0.021645128619169673,-0.009275473563412961,0.0,-0.026666641235351562,0.0,-0.05882354178643112,0.0,0.010100984153337045,-0.008264394076116899,-0.0029411735831660346,0.17647059339140525,0.0,0.0017124492167104322,0.03358928780298154,0.003386272788150624,0.0,0.0,-0.005263152941442195,0.02702714216147384,0.006305929347012462,0.004173260839453796,0.006369441055087854,0.0,0.0,0.0,-0.009734221195546344,0.0,0.0,0.012345690589294467,-0.0014084036992524362,0.04225354855837682,0.029476075692034254,0.0,0.0,-0.01030925582215092,0.020930113355264846,0.03174607219652148,-0.005602235658404231,0.02040823873324471
2019-01-10,-0.009345896432088385,-0.016960944016743418,0.0,0.10144926534683552,0.0,0.013333259131396824,0.04166668994973155,-0.007317011916455396,-0.009287916784092132,-0.0047847073346865,0.0,0.1319796886737501,-0.03448281417284127,0.0,0.05866641998291011,-0.025973850915919305,0.01508389533712462,-0.09027785366331786,0.01123594452133525,0.0,0.03603603603603611,-0.024122836599720143,0.007079573315667664,0.015444002521378675,0.06857145400274378,0.0,0.02222220102945971,0.03999994640480886,0.0,0.0,0.0,0.00941933276008644,-0.007431327412643407,0.0,-0.0416666278615585,-0.009345966490045488,0.08000000317891431,-0.02409638554216864,0.021428585052490234,-0.035999965667724565,0.010389650022828656,0.0,0.0008844928364815097,-0.022820202337616613,0.01530610755402484,0.006849308357518069,0.0,0.0625000139698384,-0.04385919197482768,0.0,-0.033333333333333326,0.04129789444049381,-0.05000002607703169,0.0,0.008547141367902578,0.01949852140640118,0.016310126589124563,0.0,-0.022727340459820944,-0.007936500427734305,0.026315725800249323,0.0,0.0007552957979308772,0.006329128047061872,0.0,-0.015624960677490307,0.0,0.0,0.08235294117647052,-0.01612911910550674,0.03658533798943764,0.0014103900978836847,-0.0033783912223301904,0.012725383711847948,0.00081634521484375,-0.09090907243657698,0.019166812507614095,0.0022780882195192476,-0.010256484672144017,0.0,0.0
2019-01-11,-0.06603767643538117,0.014084595012612278,-0.02010061655293316,0.15789474509759627,0.015384600336500354,-0.0015788685873507902,-0.019999980926513672,0.007370945210395385,-0.04687502910383001,0.0,-0.0040609759940885,-0.08520181865262921,0.053571465815818176,0.0,-0.022670008851517043,-0.08000006525671655,-0.028182329778144943,0.03053441435840476,0.005555550404536813,-0.12075472467661741,-0.013043478260869601,0.023595510915499496,0.0,-0.01901139117842887,0.15864524871732089,0.005076137217272736,0.013043466092057088,0.0,0.0,0.0,0.031249843840182256,-0.027799682533728443,-0.0013021615937408582,0.0,0.0,-0.0009431618349822202,-0.06635799800508402,-0.012345679012345734,-0.02657343422184877,-0.06639007474372727,-0.015424222757914219,0.0,0.016799592837198896,-0.019161841049811,-0.005025120811725348,0.02721085787382216,0.02580642609463779,0.0,0.045871059583174834,0.0,0.034482758620689724,0.03682722818542583,0.10526313725600911,0.0,0.002824709196408426,0.007286054709987555,0.02379642504966384,0.004464344327854475,-0.007751930820906638,-0.048000017801920536,0.0,-0.01357698696897136,0.019252662291082023,-0.05031457697617958,0.0,-0.015873042570877183,0.0,0.0008935154668452405,0.010869565217391353,-0.01639319727100963,0.10588233471865816,-0.0112675687559175,-0.023728839421676362,0.0031413707794127887,0.035073355911403814,0.09999997764825852,-0.01880635463438507,-0.011363889633653201,0.0,-0.008450696279642567,0.0
2019-01-14,0.04040400148252998,0.0,0.0,-0.03409087676400968,-0.027777811225950688,-0.02477612831155429,0.020408143405366452,-0.007317011916455396,0.08196721439623,0.0,-0.0008491974636243294,0.02941173720662249,0.0,0.0,-0.07216471089651799,0.07608700105314514,0.0,-0.037037089364844955,0.0,0.0686695328742053,0.022026431718061623,-0.059275519451554515,0.0,0.0,0.11538461538461542,-0.015151500555948827,0.07725325006487438,0.07307706677705483,0.0,-0.0040816174420471585,0.0,0.002799502473846305,-0.005866989143239798,0.01758952993270202,0.15217382994626716,-0.006610001269686139,-0.016528988151582213,0.0,0.022988483697581552,0.07111114925808382,-0.020887708955524942,-0.2857142680208842,-0.026086999885997386,-0.013431217119040273,0.030303001111897654,0.02649004112957365,-0.006289280692225341,-0.05882354178643112,-0.035087130062362526,-0.009999974568684844,0.003333403217465447,-0.060109296024865366,0.03571432372745331,0.0,0.0,-0.023508157234848115,-0.008648606053826668,0.0,0.0,-0.03361341395042561,0.051282014580267266,-0.03282185015409733,-0.0181480025087164,-0.03642382458837845,0.0,0.0,0.0,-0.00208342037299436,-0.053763440860215006,0.0,-0.07446804957526387,-0.0028489762668552077,-0.01736111157102349,0.06367437656244435,0.0007880401270694559,0.0,-0.06541664894655153,-0.022988354376583975,0.005181416327831423,0.015625019049779976,0.0033333454132338236
2019-01-15,0.009708728874782357,0.04166662527455389,0.0,0.005882347166332069,0.031168864142897545,0.004324468981970586,0.0700000524520874,0.00491393874303081,0.048484875194735544,0.0,0.0006799758009206069,-0.014285701310552956,0.0,0.0,0.011110802050002366,-0.016835028697272714,-0.0015987841033188177,0.0,-0.005524856784194343,0.012048213536239194,0.008620689655172376,0.02100353694113788,-0.023725646990278237,0.019379828682482447,0.0282758515456627,0.0,0.01593623984263237,-0.03942652263545132,-0.08666666666666667,0.061475376742700316,0.0,0.011565418359992696,0.006557356406873938,0.0,-0.01886790755296608,-0.023764179970964472,-0.008403313529497414,0.1499999999999999,0.01825844333292559,0.0207468674421436,0.00799997965494792,0.09090909090909083,0.008928785135783546,-0.015470083967959458,0.02941173720662249,0.03225811165403902,-0.04430386132023878,0.0625000139698384,0.0004540856830239637,-0.01010104837382797,-0.003322328556764842,0.02616276531170536,0.0,0.0,0.002817099266907208,0.007407400212333881,-0.02399128779279036,0.008888671630255862,0.01562498544808455,0.008695643760907146,0.0,-0.0016419145666246582,-0.00980769464522302,0.03436434081739459,0.0,0.026881720797654607,0.0,-0.014912214860266837,-0.03409090909090906,-0.05000009084122836,0.0,0.0,0.024735009957977727,0.013738936002449353,0.0,0.0,-0.012928985391127856,0.0,0.0,-0.01678320055363791,0.02990035212796882
2019-01-16,-0.05769225478877493,0.009333324432373002,-0.025640840650621,0.011695895017749036,0.08312346593109621,0.006458593474611307,-0.06074771405057433,0.004889983853618052,-0.0028901706222559387,-0.001923029309897406,0.0010194389685074245,0.048309249408762245,0.0,-0.06666668256123864,-0.005494010468477861,-0.0034248218203735137,-0.0010903080855499958,0.03846159489197354,0.022222267845531718,0.06349206649557293,-0.02991452991452992,-0.014857155936104927,0.0,0.015209112942742964,-0.02749831332045738,0.015384600336500354,-0.023529389765297948,0.059701369127041826,0.0,0.0,0.0,0.029174139478835404,-0.0022800784844090316,-0.04385364044150397,0.05769236941309597,-0.011684562766031026,-0.020338963325323256,-0.021739130434782594,-0.006896578032394962,0.0,-0.0079364879131113,0.1999999682108562,-0.008849767463599334,0.0069139616098683465,0.023809615716916754,-0.01874998183921006,0.0066225781002446915,0.0,0.00772417867537345,0.0,-0.005000139768264189,-0.014164292555673641,-0.19540231696270083,-0.033469279173105604,0.03820227333783999,0.0036764670434088487,0.05810053933148773,0.013216100724117164,0.10769239233796024,0.04310347544405113,0.0,0.0,0.028952437550597176,0.0,0.0,0.010471244272378444,0.28571433133008517,-0.0018160488726535196,-0.0117647058823529,0.0,-0.01149426357776695,-0.0014286612635543428,0.01724137931034475,0.015488881897383067,-0.000787419608820783,0.0,0.011291648914792507,-0.004705804945550174,0.010309291147942545,0.015647176869749257,-0.0032258180406645742
