,Ticker,Company,Sector,Industry,mcap_2019,mcap_2020,mcap_2021,mcap_2022,mcap_2023,mcap_2024,pe_2019,pe_2020,pe_2021,pe_2022,pe_2023,pe_2024,dy_2019,dy_2020,dy_2021,dy_2022,dy_2023,dy_2024,pscore_2019,pscore_2020,pscore_2021,pscore_2022,pscore_2023,pscore_2024,azscore_2019,azscore_2020,azscore_2021,azscore_2022,azscore_2023,azscore_2024,fcfyield_2019,fcfyield_2020,fcfyield_2021,fcfyield_2022,fcfyield_2023,fcfyield_2024,roic_2019,roic_2020,roic_2021,roic_2022,roic_2023,roic_2024,rg_2019,rg_2020,rg_2021,rg_2022,rg_2023,rg_2024,ndebitda_2019,ndebitda_2020,ndebitda_2021,ndebitda_2022,ndebitda_2023,ndebitda_2024,gpm_2019,gpm_2020,gpm_2021,gpm_2022,gpm_2023,gpm_2024,epsdg_2019,epsdg_2020,epsdg_2021,epsdg_2022,epsdg_2023,epsdg_2024,Country
0,FEX,First Trust Large Cap Core AlphaDEX Fund,Financial,Exchange Traded Fund,781842670,880127353,1106661563,959713975,1080652079,781842670,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,USA
1,FNX,First Trust Mid Cap Core AlphaDEX Fund,Financial,Exchange Traded Fund,744181180,852487311,1055753794,901661374,1072282028,744181180,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,USA
2,HTBK,Heritage Commerce Corp,Financial,Banks - Regional,760651273,531550857,721102963,790254439,606295371,760651273,"14,80328514","14,94574521","15,05241006","11,83741267","9,396007014","14,18086212","0,03793769596","0,05890973377","0,04355153446","0,03997644189","0,05241889242","0,0554320195",8,8,8,8,8,8,"182,4063955","182,4063955","182,4063955","182,4063955","182,4063955","182,4063955","0,08371236525","0,1026120029","0,07882590968","0,08767019658","0,1178169933","0,06498272434","0,06562059067","0,05715243293","0,07477039845","0,09906877878","0,07900941228","0,04912490803","0,09671565569","0,04898530441","0,01590468412","0,2209041143","0,2229678444","0,03350240037","-6,970098669","-20,29631765","-18,10590809","-2,723680724","-3,924068554","-15,42232115","0,9235266803","0,8639965585","0,9754701002","0,951170962","0,7869960871","0,6771088937",0,"-0,2976190476","0,3389830508","0,3797468354","-0,03669724771","-0,3714285714",USA
3,ACWI,iShares MSCI ACWI ETF,Financial,Exchange Traded Fund,12842419625,14701126920,17141591773,13754758079,16491773442,12842419625,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,USA
4,EVRG,Evergy Inc,Utilities,Utilities - Regulated Electric,14781939000,12617423000,15766578000,14445336387,11991869251,14781939000,"23,27071951","20,39765809","17,86028191","19,22094726","16,80418433","16,22777905","0,02966825122","0,03687002215","0,03168978003","0,03696533919","0,04635077183","0,04209534203",5,5,5,5,5,5,"0,8389665418","0,8389665418","0,8389665418","0,8389665418","0,8389665418","0,8389665418","0,01454225416","0,01534268664","-0,03951198121","-0,0252011269","-0,02879020905","-0,02489600503","0,04184710323","0,0380172111","0,04401049444","0,04366496966","0,04173655452","0,04524235726","0,2039102882","-0,04553401453","0,1370334188","0,04875865896","-0,06379819426","0,06169215904","4,818971795","4,973218649","4,798320052","5,474180757","5,429091661","5,317799818","0,3013520339","0,3069361338","0,311346591","0,2905736376","0,3037390845","0,3257379329","0,116","-0,02508960573","0,4080882353","-0,1462140992","-0,03058103976","0,1955835962",USA
5,KRNY,Kearny Financial Corp,Financial,Banks - Regional,1124918370,851906880,924717500,660054500,558822030,1124918370,"29,06070666","15,21991193","15,56979188","11,66330422","11,19473181","-4,323029527","0,02837239522","0,0352458973","0,02909830648","0,03895934713","0,06237904061","0,07356991865",6,6,6,6,6,6,"-0,5619498688","-0,5619498688","-0,5619498688","-0,5619498688","-0,5619498688","-0,5619498688","0,02683484607","0,01952763864","0,0710586576","0,09949084768","0,1492640547","0,1137579271","0,01694342155","0,01931575034","0,03516013143","0,03636198225","0,01675581533","-0,03198621333","0,3583982154","0,008127132426","0,0123790659","-0,061907849","0,2342530994","0,1025381567","20,85373663","15,73319168","6,766307561","8,07775522","24,47885812","-20,47040519","0,6589075603","0,651871884","0,8096915543","0,9077833193","0,5940804452","0,4110898662","0,9166666667","0,1956521739","0,4","0,2337662338","-0,3368421053","-3,206349206",USA
6,MRVL,Marvell Technology Inc,Technology,Semiconductors,17677326720,32019568660,73878218310,31635864000,52150057000,17677326720,"-61,17194859","10,08564449","-127,5080261","-135,1435796","-224,6966972","-62,47054853","0,01351655411","0,009986041982","0,00454211524","0,003357034878","0,005563735117","0,003546560874",7,7,7,7,7,7,"6,727232758","6,727232758","6,727232758","6,727232758","6,727232758","6,727232758","0,04648639074","0,01712583077","0,01973529274","0,01111512491","0,02916605762","0,01749785328","0,01852066257","-0,01748322838","-0,0224185892","-0,01454053482","-0,02202229116","-0,02902203364","0,18953457","-0,0581445053","0,09993438702","0,503048267","0,326550735","-0,06958240422","3,168700553","0,6643180174","1,495681935","4,564421263","2,32190534","4,056071471","0,5088968456","0,5027269585","0,5012967766","0,4625761922","0,5046793702","0,4164351726","-1,352941176","8,8","-1,175213675","-0,2926829268","0,641509434","-4,684210526",USA
7,AMKR,AMKOR Technology Inc,Technology,Semiconductor Equipment & Materials,3131947000,3668466360,6058750370,5874068860,8177732730,3131947000,"25,77944047","10,77061945","9,402461326","7,661470705","22,71191858","17,88660045",0,"0,002652519894","0,008470929465","0,009393709829","0,00913920728","0,02820641057",4,4,4,4,4,4,"3,549179917","3,549179917","3,549179917","3,549179917","3,549179917","3,549179917","0,02933393231","0,05958666625","0,05648874206","0,03246144062","0,0636992444","0,05449591281","0,04671066517","0,1027728102","0,1496155723","0,1478760564","0,06840146715","0,06227634726","-0,06111851686","0,246243569",#ERROR!,"0,1552956839","-0,08298849975","-0,02850548165","0,9363609171","0,6410450603","0,4087798724","0,370851402","0,2332121772","0,2650207588","0,1602504534","0,1783582073","0,199655965","0,1875443924","0,1450320733","0,1477140703","-0,05660377358","1,8","0,8714285714","0,1870229008","-0,5305466238","-0,02054794521",USA
8,MELI,MercadoLibre Inc,Consumer Cyclical,Internet Retail,28431110518,83539242752,67971163893,42552873753,79569693100,28431110518,"-161,9161778","-83326,12461","809,0886236","88,39056333","80,02960292","45,11104484","0,0001021206163","0,00004027548402",0,0,0,0,4,4,4,4,4,4,"3,419813321","3,419813321","3,419813321","3,419813321","3,419813321","3,419813321","0,01128285589","0,01122590309","0,005294474141","0,05832751219","0,05862825474","0,08187250546","-0,04728989542","-0,0004522626668","0,02796872039","0,08870514026","0,1589578195","0,1772739523","0,595046862","0,7305995609","0,7788122798","0,5249681709","0,4013914657","0,3753226981","-11,49661972","-0,5060682594","2,072700297","2,658573596","1,233673923","1,311449907","0,47995309","0,4300452944","0,4250954873","0,4821892393","0,5024160985","0,4609423882","-3,304878049","0,9959773371","118,6056338","4,706586826","1,041972718","0,9367934224",USA
9,ERIC,Telefonaktiebolaget L M Ericsson ADR,Technology,Communication Equipment,29088139999,39769600000,36197100000,19448031785,20979897302,29088139999,"127,4246997","20,95852505","13,69127934","10,70137432","-8,422194679","14201,05439","0,01570966514","0,0163638288","0,02217180886","0,04154761385","0,0403666514","0,03167671742",7,7,7,7,7,7,"1,491933158","1,491933158","1,491933158","1,491933158","1,491933158","1,491933158","0,04149822803","0,06669980139","0,1139390812","0,131684719","0,01741993404","0,1546374517","0,02624460602","0,1007787229","0,1405081883","0,1126510618","0,08486575722","0,007755683587","0,0003360780333","-0,0510722692","0,1814994271","0,1216038931","-0,08924380126","0,03830228209","0,1361332633","-0,1264570778","-0,3192065754","0,1075133537","-2,024894423","0,09637026957","0,374669916","0,4064245457","0,4348511065","0,4179402401","0,396444288","0,4494553814","1,313639024","6,278835386","0,5320512821","-0,2092050209","-2,328042328","1,000796813",Sweden
