Ticker,No.,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
AACG,2,ATA Creativity Global ADR,Consumer Defensive,Education & Training Services,China,28400000.0,,0.89,4.09,1317
AAOI,8,Applied Optoelectronics Inc,Technology,Communication Equipment,USA,1970000000.0,,28.89,-3.39,1681014
ACIW,50,ACI Worldwide Inc,Technology,Software - Infrastructure,USA,4890000000.0,19.2,47.46,1.69,243313
ADBE,68,Adobe Inc,Technology,Software - Application,USA,146700000000.0,20.98,350.46,-0.2,1437285
ADI,72,Analog Devices Inc,Technology,Semiconductors,USA,137130000000.0,61.29,280.05,-0.14,1171753
AIHS,131,Senmiao Technology Ltd,Industrials,Rental & Leasing Services,China,5540000.0,,1.22,-2.02,6345
AMBA,195,Ambarella Inc,Technology,Semiconductor Equipment & Materials,USA,3100000000.0,,72.0,-2.44,266252
AMRX,214,Amneal Pharmaceuticals Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,3840000000.0,860.92,12.23,-1.89,342801
AMSC,215,American Superconductor Corp,Industrials,Specialty Industrial Machinery,USA,1440000000.0,85.6,31.84,1.06,163486
AMSF,216,Amerisafe Inc,Financial,Insurance - Specialty,USA,740610000.0,14.98,39.13,-0.06,31684
AMZN,224,Amazon.com Inc,Consumer Cyclical,Internet Retail,USA,2385740000000.0,31.53,223.17,0.28,12641870
AOSL,247,Alpha & Omega Semiconductor Ltd,Technology,Semiconductors,USA,608850000.0,,20.25,0.81,71633
AREC,287,American Resources Corporation,Basic Materials,Coking Coal,USA,235740000.0,,2.33,0.22,1027993
ASYS,329,Amtech Systems Inc,Technology,Semiconductor Equipment & Materials,USA,166170000.0,,11.57,0.29,53097
ATLO,342,Ames National Corp,Financial,Banks - Regional,USA,212210000.0,13.27,23.86,0.13,4981
AVGO,374,Broadcom Inc,Technology,Semiconductors,USA,1610630000000.0,71.67,341.07,0.37,25327641
AZN,401,Astrazeneca plc ADR,Healthcare,Drug Manufacturers - General,United Kingdom,281560000000.0,30.12,90.81,-0.82,1825749
BATRA,420,Atlanta Braves Holdings Inc,Communication Services,Entertainment,USA,2530000000.0,,43.84,-0.09,13525
BATRK,421,Atlanta Braves Holdings Inc,Communication Services,Entertainment,USA,2520000000.0,,40.11,-0.42,73610
BDRX,452,Biodexa Pharmaceuticals Plc ADR,Healthcare,Biotechnology,United Kingdom,3560000.0,,5.74,20.12,9855101
BELFB,467,Bel Fuse Inc,Technology,Electronic Components,USA,2130000000.0,33.75,171.54,-1.01,38909
BILI,492,Bilibili Inc ADR,Communication Services,Internet Content & Information,China,8110000000.0,101.04,24.27,-1.02,380860
BIOX,494,Bioceres Crop Solutions Corp,Basic Materials,Agricultural Inputs,Argentina,99580000.0,,1.58,1.61,160867
BKR,508,Baker Hughes Co,Energy,Oil & Gas Equipment & Services,USA,44520000000.0,15.54,45.12,-3.79,2005190
BSET,609,Bassett Furniture Industries Inc,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,148530000.0,19.15,17.1,-1.04,2379
BTAI,635,BioXcel Therapeutics Inc,Healthcare,Biotechnology,USA,42550000.0,,1.95,4.04,261430
BVFL,662,BV Financial Inc,Financial,Banks - Regional,USA,172870000.0,17.85,19.42,-0.03,5135
CALM,693,"Cal-Maine Foods, Inc",Consumer Defensive,Farm Products,USA,4220000000.0,3.35,87.06,-1.09,329084
CCOI,743,Cogent Communications Holdings Inc,Communication Services,Telecom Services,USA,1150000000.0,,23.34,2.21,401183
CCRN,744,"Cross Country Healthcares, Inc",Healthcare,Medical Care Facilities,USA,266180000.0,,8.13,-1.51,377201
CDXS,763,Codexis Inc,Healthcare,Biotechnology,USA,146330000.0,,1.62,-0.61,808249
CELH,769,Celsius Holdings Inc,Consumer Defensive,Beverages - Non-Alcoholic,USA,11060000000.0,472.0,42.9,-2.05,1971782
CFFI,788,C & F Financial Corp,Financial,Banks - Regional,USA,245620000.0,9.38,75.85,0.2,4195
CGBD,793,Carlyle Secured Lending Inc,Financial,Asset Management,USA,934620000.0,11.14,12.82,0.39,127335
CHMG,816,Chemung Financial Corp,Financial,Banks - Regional,USA,283700000.0,21.36,59.17,-0.21,1036
CLNE,855,Clean Energy Fuels Corp,Energy,Oil & Gas Refining & Marketing,USA,496610000.0,,2.26,0.2,288610
CODA,902,Coda Octopus Group Inc,Industrials,Aerospace & Defense,USA,102600000.0,30.03,9.12,0.34,24505
CODX,903,Co-Diagnostics Inc,Healthcare,Medical Devices,USA,15270000.0,,0.25,-7.18,1550264
CPRT,942,"Copart, Inc",Industrials,Specialty Business Services,USA,37830000000.0,23.97,39.08,1.07,2722924
CTRN,1012,Citi Trends Inc,Consumer Cyclical,Apparel Retail,USA,365940000.0,,43.85,-1.73,14886
CVGW,1028,"Calavo Growers, Inc",Consumer Defensive,Food Distribution,USA,385810000.0,24.65,21.61,0.46,42920
CVLT,1030,Commvault Systems Inc,Technology,Software - Application,USA,5290000000.0,67.53,119.87,0.03,125661
DOCU,1129,DocuSign Inc,Technology,Software - Application,USA,13530000000.0,47.29,67.57,-0.9,973737
DRH,1141,Diamondrock Hospitality Co,Real Estate,REIT - Hotel & Motel,USA,1900000000.0,35.54,9.28,-0.46,495318
DSGX,1153,Descartes Systems Group Inc,Technology,Software - Application,Canada,7740000000.0,50.68,89.98,0.68,124250
DXPE,1200,"DXP Enterprises, Inc",Industrials,Industrial Distribution,USA,1740000000.0,21.1,111.24,2.7,36012
EDAP,1223,EDAP TMS S.A. ADR,Healthcare,Medical Distribution,France,118710000.0,,3.17,-4.08,92728
ENTA,1290,Enanta Pharmaceuticals Inc,Healthcare,Biotechnology,USA,432030000.0,,14.97,0.66,70584
ETON,1334,Eton Pharmaceuticals Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,429600000.0,,16.02,0.43,91231
EXC,1362,Exelon Corp,Utilities,Utilities - Regulated Electric,USA,44100000000.0,15.62,43.65,-0.5,1725092
EXTR,1371,Extreme Networks Inc,Technology,Communication Equipment,USA,2250000000.0,264.99,16.83,-0.55,139344
FCA,1404,First Trust China AlphaDEX Fund,Financial,Exchange Traded Fund,USA,,,27.64,-1.67,51971
FITB,1479,Fifth Third Bancorp,Financial,Banks - Regional,USA,31410000000.0,14.21,47.52,-0.65,2432475
FLN,1494,First Trust Latin America AlphaDEX Fund,Financial,Exchange Traded Fund,USA,,,22.3,-2.25,3762
FLWS,1498,1-800 Flowers.com Inc,Consumer Cyclical,Specialty Retail,USA,295920000.0,,4.65,8.09,1338001
FTDR,1573,Frontdoor Inc,Consumer Cyclical,Personal Services,USA,4050000000.0,15.99,56.2,1.18,108383
GLRE,1704,Greenlight Capital Re Ltd,Financial,Insurance - Reinsurance,Cayman Islands,494440000.0,,14.5,0.9,29760
