Ticker,No.,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
AAPL,13,Apple Inc,Technology,Consumer Electronics,USA,4047240000000.0,36.72,273.9,-0.08,11359586
ACWX,64,iShares MSCI ACWI ex US ETF,Financial,Exchange Traded Fund,USA,,,65.97,-2.06,676941
AMCX,198,AMC Networks Inc,Communication Services,Entertainment,USA,431790000.0,,9.92,-0.6,200647
AMTX,218,Aemetis Inc,Basic Materials,Specialty Chemicals,USA,94400000.0,,1.44,0.69,202591
ARTW,303,Art's-way Manufacturing Co. Inc,Industrials,Farm & Heavy Construction Machinery,USA,11590000.0,6.32,2.27,1.79,3827
AWRE,391,Aware Inc,Technology,Software - Application,USA,45310000.0,,2.12,0.95,612
BHF,485,Brighthouse Financial Inc,Financial,Insurance - Life,USA,3730000000.0,4.45,65.31,-0.07,215789
BND,547,Vanguard Total Bond Market ETF,Financial,Exchange Traded Fund,USA,,,74.21,0.12,3197989
BWFG,667,Bankwell Financial Group Inc,Financial,Banks - Regional,USA,391710000.0,13.79,49.73,0.23,10584
CACC,684,Credit Acceptance Corp,Financial,Credit Services,USA,5100000000.0,12.23,461.95,-0.45,33572
CBRL,723,Cracker Barrel Old Country Store Inc,Consumer Cyclical,Restaurants,USA,583540000.0,35.15,26.14,-1.82,426801
CDC,750,VictoryShares US EQ Income Enhanced Volatility Wtd ETF,Financial,Exchange Traded Fund,USA,,,66.06,-0.96,11031
CDNA,755,Caredx Inc,Healthcare,Diagnostics & Research,USA,989050000.0,16.13,19.23,-3.42,244731
CHGX,813,Stance Sustainable Beta ETF,Financial,Exchange Traded Fund,USA,,,27.05,-0.86,1650
CHI,814,Calamos Convertible Opportunities and Income Fund,Financial,Closed-End Fund - Debt,USA,816290000.0,14.76,10.48,-0.26,135573
CLBK,845,"Columbia Financial, Inc",Financial,Banks - Regional,USA,1780000000.0,117.51,17.05,-0.64,22518
CMCO,872,Columbus Mckinnon Corp,Industrials,Farm & Heavy Construction Machinery,USA,507340000.0,129.66,17.66,-0.17,33459
COMT,916,iShares GSCI Commodity Dynamic Roll Strategy ETF,Financial,Exchange Traded Fund,USA,,,24.32,-8.21,76826
COST,928,Costco Wholesale Corp,Consumer Defensive,Discount Stores,USA,380310000000.0,45.89,856.63,-0.46,1681585
CSCO,991,"Cisco Systems, Inc",Technology,Communication Equipment,USA,307930000000.0,29.39,77.93,-0.4,4095268
CSQ,997,Calamos Strategic Total Return Fund,Financial,Closed-End Fund - Debt,USA,3020000000.0,10.82,18.83,-0.29,98971
CTAS,1002,Cintas Corporation,Industrials,Specialty Business Services,USA,75480000000.0,41.74,187.83,-0.33,631827
CVBF,1025,CVB Financial Corp,Financial,Banks - Regional,USA,2720000000.0,13.49,19.9,-1.44,239745
DWSH,1193,AdvisorShares Dorsey Wright Short ETF -1x Shares,Financial,Exchange Traded Fund,USA,,,6.77,0.37,4177
EBMT,1215,Eagle Bancorp Montana Inc,Financial,Banks - Regional,USA,156340000.0,11.38,19.66,2.08,7855
EEFT,1231,Euronet Worldwide Inc,Technology,Software - Infrastructure,USA,3210000000.0,11.15,76.41,-0.5,172169
EMCB,1273,WisdomTree Emerging Markets Corporate Bond Fund,Financial,Exchange Traded Fund,USA,,,67.21,0.29,111
EVRG,1352,Evergy Inc,Utilities,Utilities - Regulated Electric,USA,16850000000.0,20.09,73.21,-1.23,418525
EWBC,1356,"East West Bancorp, Inc",Financial,Banks - Regional,USA,15740000000.0,12.62,114.4,0.68,243460
FDTS,1427,First Trust Developed Markets ex-US Small Cap AlphaDEX Fund,Financial,Exchange Traded Fund,USA,,,57.39,-0.74,11
FGM,1459,First Trust Germany AlphaDEX Fund,Financial,Exchange Traded Fund,USA,,,61.35,-0.78,543
FGNX,1461,FG Nexus Inc,Financial,Asset Management,USA,109030000.0,,2.76,3.57,355671
FID,1469,First Trust S&P International Dividend Aristocrats ETF,Financial,Exchange Traded Fund,USA,,,20.26,-0.08,10548
FIXD,1483,First Trust Smith Opportunistic Fixed Income ETF,Financial,Exchange Traded Fund,USA,,,44.21,0.05,132974
FMB,1505,First Trust Managed Municipal ETF,Financial,Exchange Traded Fund,USA,,,50.97,0.14,37544
FNX,1522,First Trust Mid Cap Core AlphaDEX Fund,Financial,Exchange Traded Fund,USA,,,127.06,-0.64,2568
FOXA,1533,Fox Corporation,Communication Services,Entertainment,USA,29560000000.0,15.94,70.81,-0.59,524092
FTEK,1575,Fuel Tech Inc,Industrials,Pollution & Treatment Controls,USA,51430000.0,,1.65,-1.49,19967
FTGC,1578,First Trust Global Tactical Commodity Strategy Fund,Financial,Exchange Traded Fund,USA,,,22.74,-14.61,581348
FTXH,1591,First Trust Nasdaq Pharmaceuticals ETF,Financial,Exchange Traded Fund,USA,,,32.43,-1.62,1059
FWRD,1612,Forward Air Corp,Industrials,Integrated Freight & Logistics,USA,806360000.0,,25.81,-0.44,79661
