Ticker,No.,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
ADEA,70,Adeia Inc,Technology,Software - Application,USA,1420000000.0,19.99,12.98,1.06,128990
ADP,75,Automatic Data Processing Inc,Technology,Software - Application,USA,105590000000.0,25.75,261.07,-1.46,873883
ADPT,76,Adaptive Biotechnologies Corp,Healthcare,Biotechnology,USA,2390000000.0,,15.68,-0.1,511649
AGAE,108,Allied Gaming & Entertainment Inc,Communication Services,Entertainment,USA,13170000.0,,0.35,0.2,153777
AGIO,114,Agios Pharmaceuticals Inc,Healthcare,Biotechnology,USA,1530000000.0,,26.24,-2.27,189831
AHCO,124,AdaptHealth Corp,Healthcare,Medical Devices,USA,1400000000.0,18.99,10.35,0.78,165918
ALGN,164,"Align Technology, Inc",Healthcare,Medical Instruments & Supplies,USA,11740000000.0,31.69,163.55,0.51,335308
ALNT,179,Allient Inc,Technology,Electronic Components,USA,930450000.0,49.15,54.91,-0.21,101967
ALNY,180,Alnylam Pharmaceuticals Inc,Healthcare,Biotechnology,USA,51850000000.0,1632.65,392.49,0.25,289702
ANAB,227,AnaptysBio Inc,Healthcare,Biotechnology,USA,1250000000.0,,45.01,-1.2,133336
AQMS,274,Aqua Metals Inc,Industrials,Waste Management,USA,18280000.0,,6.13,1.32,27070
ARCT,284,Arcturus Therapeutics Holdings Inc,Healthcare,Biotechnology,USA,200310000.0,,7.05,-2.76,147942
ARQ,296,Arq Inc,Industrials,Pollution & Treatment Controls,USA,141100000.0,,3.31,0.15,333924
ASPS,318,Altisource Portfolio Solutions S.A,Real Estate,Real Estate Services,Luxembourg,70410000.0,,6.41,2.15,3606
ATRO,352,Astronics Corp,Industrials,Aerospace & Defense,USA,1870000000.0,,52.58,0.52,129490
BAND,412,Bandwidth Inc,Technology,Software - Infrastructure,USA,454160000.0,,14.88,0.13,40329
BCRX,445,Biocryst Pharmaceuticals Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,1580000000.0,,7.49,-1.32,1126708
BLDP,515,Ballard Power Systems Inc,Industrials,Electrical Equipment & Parts,Canada,795460000.0,,2.64,0.76,1164542
BNC,546,CEA Industries Inc,Industrials,Farm & Heavy Construction Machinery,USA,280040000.0,,6.5,0.78,166419
BNTC,555,Benitec Biopharma Inc,Healthcare,Biotechnology,USA,438560000.0,,12.95,6.34,103596
BTCS,638,BTCS Inc,Financial,Capital Markets,USA,141220000.0,4.32,3.02,1.86,671273
BYND,672,Beyond Meat Inc,Consumer Defensive,Packaged Foods,USA,496660000.0,,1.1,5.29,21219185
CENN,772,Cenntro Inc,Consumer Cyclical,Auto Manufacturers,USA,13530000.0,,0.15,0.39,616182
CENX,775,Century Aluminum Co,Basic Materials,Aluminum,USA,2990000000.0,40.08,32.01,1.96,324394
CHRW,825,"C.H. Robinson Worldwide, Inc",Industrials,Integrated Freight & Logistics,USA,18650000000.0,32.01,157.9,0.19,353912
CNXN,898,"PC Connection, Inc",Technology,Electronics & Computer Distribution,USA,1540000000.0,18.79,60.85,2.29,36321
COLL,913,Collegium Pharmaceutical Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,1530000000.0,30.08,48.33,-1.4,65165
CREX,962,Creative Realities Inc,Technology,Software - Application,USA,29130000.0,,2.77,-1.07,5619
CRSP,975,CRISPR Therapeutics AG,Healthcare,Biotechnology,Switzerland,5320000000.0,,55.86,-0.7,466883
CRVO,980,CervoMed Inc,Healthcare,Biotechnology,USA,75870000.0,,8.2,-1.8,7498
CRWS,985,"Crown Crafts, Inc",Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,28150000.0,,2.63,1.15,45048
CTRM,1011,Castor Maritime Inc,Industrials,Marine Shipping,Cyprus,20870000.0,,2.16,-0.92,21684
CYPH,1045,Cypherpunk Technologies Inc,Healthcare,Biotechnology,USA,70530000.0,,1.25,3.75,1683908
DLTR,1116,Dollar Tree Inc,Consumer Defensive,Discount Stores,USA,26220000000.0,,131.88,0.54,732297
DNTH,1127,Dianthus Therapeutics Inc,Healthcare,Biotechnology,USA,1750000000.0,,40.85,-2.56,153165
DXLG,1199,Destination XL Group Inc,Consumer Cyclical,Apparel Retail,USA,58480000.0,,1.07,-0.93,59015
DXR,1201,Daxor Corp,Healthcare,Medical Instruments & Supplies,USA,63430000.0,35.07,12.79,-1.32,166
ECPG,1221,"Encore Capital Group, Inc",Financial,Credit Services,USA,1210000000.0,,54.1,0.73,39641
EDIT,1226,Editas Medicine Inc,Healthcare,Biotechnology,USA,244540000.0,,2.51,2.66,619272
EDRY,1227,EuroDry Ltd,Industrials,Marine Shipping,Greece,36620000.0,,12.95,-1.46,4785
ENTX,1292,Entera Bio Ltd,Healthcare,Biotechnology,Israel,94000000.0,,2.05,-1.44,4375
FWRD,1612,Forward Air Corp,Industrials,Integrated Freight & Logistics,USA,806360000.0,,25.81,-0.44,79661
GGAL,1665,Grupo Financiero Galicia ADR,Financial,Banks - Regional,Argentina,6530000000.0,9.0,49.32,-1.1,714628
GIII,1676,G-III Apparel Group Ltd,Consumer Cyclical,Apparel Manufacturing,USA,1330000000.0,9.5,31.55,-0.82,162281
GREE,1749,Greenidge Generation Holdings Inc,Financial,Capital Markets,USA,24650000.0,,1.56,0.0,65902
HAIN,1797,Hain Celestial Group Inc,Consumer Defensive,Packaged Foods,USA,100070000.0,,1.11,-5.56,569346
HFBL,1834,Home Federal Bancorp Inc (Louisiana),Financial,Banks - Regional,USA,52810000.0,11.52,17.1,6.81,379
HNNA,1861,Hennessy Advisors Inc,Financial,Asset Management,USA,75880000.0,7.63,9.62,2.73,2946
HROW,1886,Harrow Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,1690000000.0,,45.76,0.13,220552
HURA,1915,TuHURA Biosciences Inc,Healthcare,Biotechnology,USA,58530000.0,,0.96,0.05,146706
HURC,1916,"Hurco Companies, Inc",Industrials,Specialty Industrial Machinery,USA,96710000.0,,15.1,-1.79,11782
HYPD,1937,Hyperion DeFi Inc,Healthcare,Biotechnology,USA,25580000.0,,3.13,1.62,58419
INTZ,2080,Intrusion Inc,Technology,Software - Infrastructure,USA,26330000.0,,1.31,1.55,50092
IOVA,2093,Iovance Biotherapeutics Inc,Healthcare,Biotechnology,USA,843930000.0,,2.13,-1.58,3510797
IPM,2102,Intelligent Protection Management Corp,Technology,Software - Application,USA,16260000.0,,1.79,0.0,17309
ITIC,2137,Investors Title Co,Financial,Insurance - Specialty,USA,471830000.0,13.15,249.97,-0.75,5689
KALU,2212,Kaiser Aluminum Corp,Basic Materials,Aluminum,USA,1810000000.0,20.14,111.51,1.46,53619
KALV,2213,KalVista Pharmaceuticals Inc,Healthcare,Biotechnology,USA,837550000.0,,16.57,-1.95,199319
KELYA,2232,"Kelly Services, Inc",Industrials,Staffing & Employment Services,USA,318680000.0,,9.01,0.33,87245
KHC,2238,Kraft Heinz Co,Consumer Defensive,Packaged Foods,USA,29210000000.0,,24.68,0.73,6460027
KOSS,2261,Koss Corp,Technology,Consumer Electronics,USA,42840000.0,,4.53,-1.52,7704
KPRX,2265,Kiora Pharmaceuticals Inc,Healthcare,Biotechnology,USA,7690000.0,,2.09,1.46,3638
LASR,2303,nLIGHT Inc,Technology,Semiconductors,USA,1810000000.0,,35.73,-2.11,152439
LOCO,2404,El Pollo Loco Holdings Inc,Consumer Cyclical,Restaurants,USA,347770000.0,13.16,11.61,-0.85,81618
LOOP,2408,Loop Industries Inc,Basic Materials,Specialty Chemicals,Canada,46640000.0,,0.97,0.6,38941
LX,2452,LexinFintech Holdings Ltd ADR,Financial,Credit Services,China,415010000.0,2.2,3.13,-0.95,641224
MCHX,2508,Marchex Inc,Communication Services,Advertising Agencies,USA,71570000.0,,1.63,-0.01,1983
MNRO,2600,Monro Inc,Consumer Cyclical,Auto Parts,USA,621700000.0,,20.71,0.83,118728
MRNA,2633,Moderna Inc,Healthcare,Biotechnology,USA,11590000000.0,,29.67,-0.85,2863757
NAAS,2706,Naas Technology Inc ADR,Consumer Cyclical,Specialty Retail,China,1490000.0,,3.55,-3.53,13364
NISN,2777,NiSun International Enterprise Development Group Co Ltd,Industrials,Specialty Business Services,China,14510000.0,5.82,3.14,-0.16,3288
NIU,2779,Niu Technologies ADR,Consumer Cyclical,Auto Manufacturers,China,209070000.0,,3.0,-1.64,462411
NIXX,2782,Nixxy Inc,Industrials,Staffing & Employment Services,USA,26990000.0,,1.09,1.4,83300
NNBR,2794,NN Inc,Industrials,Conglomerates,USA,61740000.0,,1.23,-2.38,130818
NOTV,2802,Inotiv Inc,Healthcare,Diagnostics & Research,USA,23150000.0,,0.67,-4.21,233648
NTLA,2830,Intellia Therapeutics Inc,Healthcare,Biotechnology,USA,1040000000.0,,8.99,-1.64,945585
OCC,2896,Optical Cable Corp,Technology,Communication Equipment,USA,80720000.0,,9.1,8.33,41955
OCGN,2900,Ocugen Inc,Healthcare,Biotechnology,USA,448180000.0,,1.43,3.99,1804095
