,Ticker,Company,Sector,Industry,mcap_2019,mcap_2020,mcap_2021,mcap_2022,mcap_2023,mcap_2024,pe_2019,pe_2020,pe_2021,pe_2022,pe_2023,pe_2024,dy_2019,dy_2020,dy_2021,dy_2022,dy_2023,dy_2024,pscore_2019,pscore_2020,pscore_2021,pscore_2022,pscore_2023,pscore_2024,azscore_2019,azscore_2020,azscore_2021,azscore_2022,azscore_2023,azscore_2024,fcfyield_2019,fcfyield_2020,fcfyield_2021,fcfyield_2022,fcfyield_2023,fcfyield_2024,roic_2019,roic_2020,roic_2021,roic_2022,roic_2023,roic_2024,rg_2019,rg_2020,rg_2021,rg_2022,rg_2023,rg_2024,ndebitda_2019,ndebitda_2020,ndebitda_2021,ndebitda_2022,ndebitda_2023,ndebitda_2024,gpm_2019,gpm_2020,gpm_2021,gpm_2022,gpm_2023,gpm_2024,epsdg_2019,epsdg_2020,epsdg_2021,epsdg_2022,epsdg_2023,epsdg_2024,Country
30,LDWY,Lendway Inc,Communication Services,Advertising Agencies,"8717665,11",10195925,41220880,14034570,8039840,"8717665,11","-1,56314506","-2,209298834","-11,4942841","1,392366116","3,401164043","-1,494776249","0,001605935538","0,001373099051","0,0003446510162",0,0,0,2,2,2,2,2,2,"0,413836881","0,413836881","0,413836881","0,413836881","0,413836881","0,413836881","-0,3107485266","-0,1609468245","-0,07646328974","0,7623120582","0,05834057008","-0,6083056672","-0,4731183289","-0,5495787717","-1,150576369","-0,1795852331","-0,2257940327","-0,0423524333","-0,3522686244","-0,1879412858","0,1156046219",-1,0,0,"2,96196319","1,400511985","1,079799764","5,939991607","4,575740319","6,560010669","0,2013656633","0,1633680357","0,1656155463",0,0,"0,1723188521","-4,987804878","0,1865443425","0,2443609023","3,791044776","-1,055258467","-9,451612903",USA
31,BVFL,BV Financial Inc,Financial,Banks - Regional,122509500,120734000,143091900,184500000,152384349,122509500,"44,89324707","15,79254415","15,1564347","18,88540479","9,645751806","15,6864608",0,0,0,0,0,0,6,6,6,6,6,6,"0,3388814903","0,3388814903","0,3388814903","0,3388814903","0,3388814903","0,3388814903","0,006160996568","0,03850613746","0,07102428579","0,04635471698","0,1137471342","0,08402740777","0,03238521778","0,05442481971","0,06973652137","0,06556355753","0,05452766164","0,04498741289",0,"0,5710447289","0,5970321932","0,2211093263","0,2119992778","0,04699072104","-4,875635197","-3,852941176","-5,370260706","-1,257566043","-1,854782962","-1,184272503","0,8538011696","0,8189637827","0,864310687","0,8847532823","0,8053758406","0,7704691438",0,"1,815789474","0,2336448598",0,"0,1136363636","-0,2517006803",USA
32,BYRN,Byrna Technologies Inc,Industrials,Aerospace & Defense,19885246,215857448,317601599,171383968,140805241,19885246,"-3,287265978","-14,24087392","-87,92560892","-24,56233109","-15,65305181","34,00722729",0,0,0,0,0,0,5,5,5,5,5,5,"15,94738559","15,94738559","15,94738559","15,94738559","15,94738559","15,94738559","-0,2771914491","0,006220266366","-0,02173839434","-0,08818427722","0,02330971421","0,02158978955","-1,241164844","-0,4422208539","-0,04642243272","-0,1581531412","-0,1757988807","0,1169878821","2,694321556","16,92076429","1,54492631","0,139373814","-0,1122491465","1,01097458","-1,25928379","0,1721814143","19,69079886","2,547847586","2,848651961","-1,738789512","0,1611898933","0,4532196245","0,5429316888","0,5470480473","0,5545211519","0,6153738514","-1,47826087","-0,7368421053","0,7777777778","-0,5909090909","-0,05714285714","2,486486486",USA
33,LINK,Interlink Electronics,Technology,Electronic Components,13850040,26404000,28388600,35975111,56081480,#ERROR!,"-45,31420764","233,6637168","-38,10609619","21,50318862","-146,6270348","-20,6783871",0,0,"0,001716132113","0,01112553371","0,007122741209","0,0097499337",4,4,4,4,4,4,"9,704067035","9,704067035","9,704067035","9,704067035","9,704067035","9,704067035","-0,01115478976","-0,001931525526","0,00257419817","-0,02661783939","-0,004255837872","-0,01325990983","-0,02432094556","0,01172083111","-0,006133540373","-0,04098614433","-0,03178165496","-0,1697300878","-0,1795822102","-0,05708418891","0,0856562137","0,002005883926","0,8604030428","-0,162195122","-107,5384615","-10,63931298","-56,69518717","23,6047619","-9,775943396","1,57253886","0,4531143053","0,5239547038","0,5426584648","0,5152809289","0,4705164993","0,4149327853","-1,492080253","1,36695279","-7,432748538","2,181818182","-1,609230769","-2,03030303",USA
34,TOMZ,TOMI Environmental Solutions Inc,Industrials,Pollution & Treatment Controls,13948309,76723074,32535244,"9684337,95",20082794,13948309,"-5,969321135","17,18459545","-6,524483514","-3,361337678","-5,887517739","-4,689152919",0,0,0,0,0,0,1,1,1,1,1,1,"-9,123232131","-9,123232131","-9,123232131","-9,123232131","-9,123232131","-9,123232131","-0,08076134286","0,055359094","-0,1542208628","-0,1525386253","-0,1904512123","-0,07374369562","-0,2977991745","0,3025111926","-0,3329132816","-0,2341259442","-0,2932352589","-0,5779756574","0,1365444905","2,943123696","-0,6901991986","0,07538670514","-0,1179567429","0,05225027616","-4,431831041","-0,691207915","1,087076127","1,189789012","-0,2426423941","-0,6435099713","0,6166406708","0,6010392032","0,5915576826","0,6069075217","0,5832481708","0,4596395688","0,2380952381","2,4375","-2,086956522","0,4","-0,1333333333","-0,2941176471",USA
35,SCWO,374Water Inc,Industrials,Pollution & Treatment Controls,28575095,234700149,3605225547,3623692787,1884832981,28575095,"-5,549468069",#ERROR!,"-84,65763738","-77,22758058","-22,84464424","-7,387546234",0,0,0,0,0,0,2,2,2,2,2,2,"-4,885625721","-4,885625721","-4,885625721","-4,885625721","-4,885625721","-4,885625721","-0,1005942272","0,00258771461","-0,00687601107","-0,01420651798","-0,04940902856","-0,1223990173","6,617498877","-0,03851106826","-0,2568334687","-0,5762484352","-0,5860699025","-0,792404532","-0,8737466727","2,607083333","-0,4443802703","61,69274428","-0,753292383","-0,4012449728","-0,6013387314","-41,31194196","3,567732322","0,8631517409","1,220676728","0,7935974079",1,"0,8354972854",1,"0,1115896722","-1,489687507","-2,048977988","0,191588785","1,034682081","-57,16666667","-0,09792284866","-0,6810810811","-0,4871382637",USA
36,SLNH,Soluna Holdings Inc,Financial,Capital Markets,3778197,46143163,149247925,"4270571,5",10022480,3778197,"19,80638235","23,19148574","-24,21608458","-0,03946158132","-0,179955207","-2,082597262","0,5535007909",0,"0,004945023078","0,9888459613",0,0,3,3,3,3,3,3,"-4,366491308","-4,366491308","-4,366491308","-4,366491308","-4,366491308","-4,366491308","0,03220027194","0,01810300404","-0,40593145","-17,84363809","-2,997218581","-0,1398567838","0,05418410042","-0,1803568757","-0,04057435005","-1,070269246","-0,2357918327","-0,8327457789","-0,1849417018","-0,9094506163","23,1092437","0,9900313698","-0,2620590605","0,8048514193","-4,091623037","1,599272727","2,89376054","-2,571800331","-2,131658451","-0,4401158946","0,664434637","0,3193277311","0,4374346462","0,8748730164","0,734121333","0,6028247547","-0,8359375","5,047619048","-3,655511811","-12,23721275","0,844374755","0,9712126664",USA
37,CZFS,"Citizens Financial Services, Inc",Financial,Banks - Regional,216394768,218911419,236685307,304268338,304192413,216394768,"10,9993843","8,404923714","8,141726767","10,37469167","15,76472068","10,70278237","0,02945731372","0,03099216641","0,03114259538","0,02516845251","0,03028290926","0,03124307258",5,5,5,5,5,5,"-0,638153215","-0,638153215","-0,638153215","-0,638153215","-0,638153215","-0,638153215","0,09928257564","0,05156671823","0,1585517913","0,1048331721","0,08518960242","0,1070365768","0,07669212578","0,06894894268","0,08219131682","0,04043490481","0,02742085962","0,04353344194","0,0910641465","0,161327914","0,04655033163","0,08855031454","0,4901229926","0,2154869776","2,149262924","0,2022917725","-2,926598957","6,159986859","10,64241372","7,092310293","0,8050905267","0,871448151","0,8987979701","0,8613674204","0,6223697584","0,5821926745","0,0867768595","0,1920152091","0,1307814992","0,001410437236","-0,4394366197","0,4547738693",USA
38,LIXT,Lixte Biotechnology Holdings Inc,Healthcare,Biotechnology,45573600,40449200,16358442,8491500,"5285831,5",45573600,"-18,67507969","-10,94939125","-2,383013381","-1,278147036","-0,8832660478","-1,273149626",0,0,0,0,0,0,2,2,2,2,2,2,"0,8159416048","0,8159416048","0,8159416048","0,8159416048","0,8159416048","0,8159416048","-0,03673503958","-0,05962252304","-0,2583854165","-0,5715841777","-0,9555027597","-0,6931465983","-1,022977772","-0,6418818872","-1,402916663","-1,221917449","-1,274227601","-4,319036434",0,0,0,0,0,0,"1,064958491",0,"0,7177143162","0,8492513873","0,8289601869","0,2910927662",0,0,0,0,0,0,"-0,009174311927","-0,3136363636","-0,7301038062","0,2","0,335","0,4022556391",USA
39,ISBA,Isabella Bank Corp,Financial,Banks - Regional,191864754,155962371,192109630,174006737,157616715,191864754,"14,76444257","14,31118052","9,850881866","7,97833137","8,890185501","13,94840953","0,04306989211","0,05471917585","0,0435594431","0,04555237762","0,05087054511","0,04205349047",9,9,9,9,9,9,"-0,4398705152","-0,4398705152","-0,4398705152","-0,4398705152","-0,4398705152","-0,4398705152","0,1142428628","0,1314633977","0,1244674514","0,1337600873","0,1245634891","0,09049217398","0,02678837717","0,02884704573","0,06282542015","0,08139049724","0,05418569345","0,04094863804","0,05266206098","-0,007676386596","-0,05908754884","0,07400808126","0,1856670716","0,1206315279","12,17720875","-5,842395639","-0,2286301214","1,663219782","3,463418732","4,785165549","0,7656344154","0,79551695","0,9032774005","0,9242335175","0,754131594","0,645797489","-0,07471264368","-0,1677018634","0,828358209","0,187755102","-0,175257732","-0,225",USA
